location_id	latitude	longitude	confirmed	deaths	status	country_code	region	locality	location
88	32.394209	119.412939	32.394209	8			CHN	Jiangsu	Yangzhou	
89	36.061089	103.834303	36.061089	13			CHN	Gansu	Lanzhou	
90	36.545015	104.138586	36.545015	1			CHN	Gansu	Baiyin	
91	38.304477	116.838834	38.304477	12			CHN	Hebei	Cangzhou	
92	30.39194	114.894843	30.39194	123			CHN	Hubei	Ezhou	
93	30.360882	113.423482	30.360882	55			CHN	Hubei	Xiantao	
94	30.402167	112.899762	30.402167	10	1	LOCKDOWN	CHN	Hubei	Qianjiang	
95	27.817808	114.917346	27.817808	11			CHN	Jiangxi	Xinyu	
96	27.087637	114.964696	27.087637	5			CHN	Jiangxi	Ji'an	
97	29.705077	116.00193	29.705077	31			CHN	Jiangxi	Jiujiang	
98	25.234479	110.179953	25.234479	18			CHN	Guangxi	Guilin	
99	23.476962	111.279115	23.476962	4			CHN	Guangxi	Wuzhou	
100	23.902479	106.618283	23.902479	2			CHN	Guangxi	Baise	
101	24.692931	108.085261	24.692931	5			CHN	Guangxi	Hechi	
102	35.6803997	139.7690174	35.6803997	5			JPN	KantÅ (capital)s+	Tokyo	
103	37.566535	126.9779692	37.566535	1			KOR	SCA (capital)	Seoul	
104	30.20003	115.038835	30.20003	113	1	LOCKDOWN	CHN	Hubei	Huangshi	
105	30.272156	109.488172	30.272156	66			CHN	Hubei	Enshi	
106	37.513068	122.120419	37.513068	14			CHN	Shandong	Weihai	
107	36.706962	119.161748	36.706962	7			CHN	Shandong	Weifang	
108	34.746611	113.625328	34.746611	44			CHN	Henan	Zhengzhou	
109	32.147679	114.091192	32.147679	41			CHN	Henan	Xinyang	
110	23.681774	113.056042	23.681774	6			CHN	Guangdong	Qingyuan	
111	21.857958	111.982232	21.857958	10			CHN	Guangdong	Yangjiang	
112	43.837883	126.549572	43.837883	3			CHN	Jilin	Jilin City	
113	45.141789	124.825117	45.141789	2			CHN	Jilin	Songyuan	
114	30.531919	117.115101	30.531919	18			CHN	Anhui	Anqing	
115	30.656037	117.489156	30.656037	2			CHN	Anhui	Chizhou	
116	32.916287	117.389719	32.916287	8			CHN	Anhui	Bengbu	
117	30.691966	111.286471	30.691966	117	1	LOCKDOWN	CHN	Hubei	Yichang	
118	30.917766	113.957037	30.917766	399			CHN	Hubei	Xiaogan	
119	32.629398	110.798266	32.629398	119			CHN	Hubei	Shiyan	
120	29.980537	103.013261	29.980537	2			CHN	Sichuan	Ya'an	
121	30.532847	105.592898	30.532847	4			CHN	Sichuan	Suining	
122	31.126855	104.397894	31.126855	3			CHN	Sichuan	Deyang	
123	31.980171	120.894291	31.980171	9			CHN	Jiangsu	Nantong	
124	31.491169	120.31191	31.491169	10			CHN	Jiangsu	Wuxi	
125	29.6426	106.567	29.6426	8			CHN	Chongqing	Liangjiang New Area	
126	28.447997	109.007094	28.447997	1			CHN	Chongqing	Xiushan County	
127	31.398604	109.570062	31.398604	5			CHN	Chongqing	Wuxi County	
128	31.018498	109.463987	31.018498	4			CHN	Chongqing	Fengjie County	
129	30.930612	108.697324	30.930612	12			CHN	Chongqing	Yunyang County	
130	31.2699214	108.3816532	31.2699214	13			CHN	Chongqing	Kaizhou District	
131	29.502272	106.510676	29.502272	5			CHN	Chongqing	Jiulongpo District	
132	29.718142	106.631187	29.718142	7			CHN	Chongqing	Yubei District	
133	29.484527	106.482346	29.484527	4			CHN	Chongqing	Dadukou District	
134	22.6272784	120.3014353	22.6272784	2			TWN	Kaohsiung City Municipality		
135	30.299559	108.039002	30.299559	11			CHN	Chongqing	Zhongxian County	
136	18.795143	110.391073	18.795143	8			CHN	Hainan	Wanning	
137	29.356803	113.12873	29.356803	29			CHN	Hunan	Yueyang	
138	27.700062	111.993497	27.700062	16			CHN	Hunan	Loudi	
139	27.829795	112.944026	27.829795	9			CHN	Hunan	Xiangtan	
140	27.827986	113.133853	27.827986	18			CHN	Hunan	Zhuzhou	
141	46.653845	126.968887	46.653845	10			CHN	Heilongjiang	Suihua	
142	46.589309	125.103784	46.589309	5			CHN	Heilongjiang	Daqing	
143	49.597841	117.378529	49.597841	1			CHN	Inner Mongolia	Manzhouli (Hulun Buir)	
144	35.414982	116.587282	35.414982	8			CHN	Shandong	Jining	
145	37.464539	121.447852	37.464539	13			CHN	Shandong	Yantai	
146	36.6512	117.120095	36.6512	14			CHN	Shandong	Jinan	
147	37.499972	105.196902	37.499972	1			CHN	Ningxia	Zhongwei	
148	30.653061	113.165862	30.653061	44	3	LOCKDOWN	CHN	Hubei	Tianmen	
149	32.684714	109.029022	32.684714	10			CHN	Shaanxi	Ankang	
150	36.585445	109.489757	36.585445	3			CHN	Shaanxi	Yan'an	
151	27.7172453	85.3239605	27.7172453	1			NPL	Bagmati Pradesh (capital)s+	Kathmandu	
152	41.8781136	-87.6297982	41.8781136	1			USA	Illinois	Chicago	
153	22.00881	100.79715	22.00881	10			CHN	Yunnan	Xishuangbanna	
154	26.855047	100.22775	26.855047	6			CHN	Yunnan	Lijiang	
155	22.654032	110.18122	22.654032	2			CHN	Guangxi	Yulin	
156	21.68686	108.353846	21.68686	5			CHN	Guangxi	Fangchenggang	
157	44.837789	-0.579179999999951	44.837789	1			FRA	Nouvelle-Aquitaines+	Bordeaux	
158	48.856614	2.35222190000002	48.856614	4			FRA	Ãle-de-France (capital)s+	Paris	
159	27.949217	116.358181	27.949217	13			CHN	Jiangxi	Fuzhou	
160	28.454862	117.943433	28.454862	11			CHN	Jiangxi	Shangrao	
161	25.830694	114.933546	25.830694	21			CHN	Jiangxi	Ganzhou	
162	27.815743	114.416785	27.815743	14			CHN	Jiangxi	Yichun	
163	29.268783	117.178443	29.268783	2			CHN	Jiangxi	Jingdezhen	
164	31.690215	113.382458	31.690215	143			CHN	Hubei	Suizhou	
165	40.076762	113.300129	40.076762	4			CHN	Shanxi	Datong	
166	36.195409	113.116404	36.195409	3			CHN	Shanxi	Changzhi	
167	35.026516	111.00746	35.026516	7			CHN	Shanxi	Yuncheng	
168	40.71104	120.83694	40.71104	4			CHN	Liaoning	Huludao	
169	42.223828	123.726035	42.223828	2			CHN	Liaoning	Tieling	
170	41.486981	123.685142	41.486981	2			CHN	Liaoning	Benxi	
171	37.434092	116.357464	37.434092	11			CHN	Shandong	Dezhou	
172	36.45703	115.98546	36.45703	5			CHN	Shandong	Liaocheng	
173	31.811226	119.974061	31.811226	10			CHN	Jiangsu	Changzhou	
174	33.963232	118.275198	33.963232	4			CHN	Jiangsu	Suqian	
175	33.347316	120.16366	33.347316	6			CHN	Jiangsu	Yancheng	
176	40.952942	117.96275	40.952942	2			CHN	Hebei	Chengde	
177	38.874434	115.464589	38.874434	7			CHN	Hebei	Baoding	
178	28.55386	112.35518	28.55386	17			CHN	Hunan	Yiyang	
179	29.031654	111.698784	29.031654	30			CHN	Hunan	Changde	
180	26.893368	112.572018	26.893368	20			CHN	Hunan	Hengyang	
181	27.23895	111.467674	27.23895	29			CHN	Hunan	Shaoyang	
182	23.020673	113.751799	23.020673	7			CHN	Guangdong	Dongguan	
183	23.354091	116.681972	23.354091	14			CHN	Guangdong	Shantou	
184	32.990664	112.528308	32.990664	51			CHN	Henan	Nanyang	
185	33.011529	114.022298	33.011529	25			CHN	Henan	Zhumadian	
186	32.168137	115.654481	32.168137	1			CHN	Henan	Gushi County (Xinyang)	
187	35.303704	113.926763	35.303704	11			CHN	Henan	Xinxiang	
188	33.766169	113.192661	33.766169	8			CHN	Henan	Pingdingshan	
189	31.67044	118.507011	31.67044	14			CHN	Anhui	Ma'anshan	
190	30.945515	117.81154	30.945515	10			CHN	Anhui	Tongling	
191	31.352859	118.432941	31.352859	14			CHN	Anhui	Wuhu	
192	29.999285	108.114069	29.999285	7			CHN	Chongqing	Shizhu County	
193	29.972084	106.27613	29.972084	6			CHN	Chongqing	Hechuan District	
194	29.592024	106.227305	29.592024	4			CHN	Chongqing	Bishan District	
195	30.674362	107.803911	30.674362	1			CHN	Chongqing	Liangping District	
196	31.947633	108.664214	31.947633	1			CHN	Chongqing	Chengkou County	
197	29.8635	107.730894	29.8635	3			CHN	Chongqing	Fengdu County	
198	-37.8136276	144.9630576	-37.8136276	2			AUS	Victoria	Melbourne	
199	30.753924	120.758543	30.753924	16			CHN	Zhejiang	Jiaxing	
200	19.521134	109.580811	19.521134	5			CHN	Hainan	Danzhou	
201	29.580228	105.058433	29.580228	4			CHN	Sichuan	Neijiang	
202	28.871569	105.44174	28.871569	5			CHN	Sichuan	Luzhou	
203	29.33903	104.778442	29.33903	7			CHN	Sichuan	Zigong	
204	1.492659	103.7413591	1.492659	5			MYS	Johor	Johor Bahru	
205	41.57365	120.4493879	41.57365	4			CHN	Liaoning	Chaoyang	
206	35.23375	115.480656	35.23375	7			CHN	Shandong	Heze	
207	37.38198	117.970699	37.38198	7			CHN	Shandong	Binzhou	
208	24.513025	117.647093	24.513025	6			CHN	Fujian	Zhangzhou	
209	26.263406	117.638678	26.263406	9			CHN	Fujian	Sanming	
210	34.897887	108.945019	34.897887	5			CHN	Shaanxi	Tongchuan	
211	33.870422	109.940477	33.870422	2			CHN	Shaanxi	Shangluo	
212	36.015855	106.24261	36.015855	1			CHN	Ningxia	Guyuan	
213	-33.8688197	151.2092955	-33.8688197	4			AUS	NSW	Sydney	
214	43.933454	116.0482221	43.933454	1			CHN	Inner Mongolia	Xilin Gol	
215	25.087856	104.906397	25.087856	1			CHN	Guizhou	Qianxinan	
216	36.617134	101.778223	36.617134	6			CHN	Qinghai	Xining	
217	25.606486	100.267638	25.606486	4			CHN	Yunnan	Dali Prefecture	
218	23.36225	103.374576	23.36225	4			CHN	Yunnan	Honghe	
219	24.347324	102.527197	24.347324	6			CHN	Yunnan	Yuxi	
220	25.489999	103.796167	25.489999	5			CHN	Yunnan	Qujing	
221	18.506048	110.037503	18.506048	2			CHN	Hainan	Lingshui	
222	22.817002	108.366543	22.817002	15			CHN	Guangxi	Nanning	
223	27.622768	113.854556	27.622768	5			CHN	Jiangxi	Pingxiang	
224	37.856971	113.580519	37.856971	1			CHN	Shanxi	Yangquan	
225	37.687357	112.752652	37.687357	9			CHN	Shanxi	Jinzhong	
226	32.009016	112.122426	32.009016	163			CHN	Hubei	Xiangyang	
227	43.653226	-79.3831843	43.653226	2			CAN	Ontario	Toronto	
228	37.6583599	126.8320201	37.6583599	1			KOR	Gyeonggi	Goyang	
229	36.097577	114.392392	36.097577	16			CHN	Henan	Anyang	
230	33.580873	114.016536	33.580873	11			CHN	Henan	Luohe	
231	36.813546	118.055019	36.813546	6			CHN	Shandong	Zibo	
232	28.312001	109.738781	28.312001	4			CHN	Hunan	Xiangxi	
233	33.646357	116.964358	33.646357	11			CHN	Anhui	Suzhou	
234	29.714699	118.337521	29.714699	7			CHN	Anhui	Huangshan	
235	32.625478	116.999932	32.625478	6			CHN	Anhui	Huainan	
236	33.955844	116.798265	33.955844	2			CHN	Anhui	Huaibei	
237	30.940195	118.75868	30.940195	4			CHN	Anhui	Xuancheng	
238	32.455536	119.922933	32.455536	9			CHN	Jiangsu	Taizhou	
239	33.551052	119.113185	33.551052	7			CHN	Jiangsu	Huai'an	
240	23.549701	116.372708	23.549701	6			CHN	Guangdong	Jieyang	
241	47.354348	123.918186	47.354348	3			CHN	Heilongjiang	Qiqihar	
242	28.46763	119.922796	28.46763	6			CHN	Zhejiang	Lishui	
243	30.89441	120.086809	30.89441	5			CHN	Zhejiang	Huzhou	
244	36.625656	114.538961	36.625656	6			CHN	Hebei	Handan	
245	49.285901	120.711735	49.285901	1			CHN	Inner Mongolia	Yakeshi (Hulun Buir)	
246	38.182362	107.477514	38.182362	1			CHN	Inner Mongolia	Otog Qianqi (Ordos)	
247	39.822507	109.963338	39.822507	1			CHN	Inner Mongolia	Dongsheng (Ordos)	
248	43.653169	111.977943	43.653169	1			CHN	Inner Mongolia	Erenhot (Xilin Gol)	
249	35.580662	104.626282	35.580662	2			CHN	Gansu	Dingxi	
250	29.606703	106.574271	29.606703	6			CHN	Chongqing	Jiangbei District	
251	29.844811	106.056404	29.844811	2			CHN	Chongqing	Tongliang District	
252	29.707032	105.721733	29.707032	2			CHN	Chongqing	Dazu District	
253	30.04952	101.96231	30.04952	5			CHN	Sichuan	Garze	
254	30.837793	106.110698	30.837793	9			CHN	Sichuan	Nanchong	
255	30.07728	103.848396	30.07728	2			CHN	Sichuan	Meishan	
256	29.552115	103.765678	29.552115	2			CHN	Sichuan	Leshan	
257	19.738521	110.006755	19.738521	2			CHN	Hainan	Chengmai County	
258	40.667433	122.235084	40.667433	1			CHN	Liaoning	Yingkou	
259	40.000787	124.35445	40.000787	2			CHN	Liaoning	Dandong	
260	41.119997	122.070714	41.119997	2			CHN	Liaoning	Panjin	
261	33.06748	107.023323	33.06748	7			CHN	Shaanxi	Hanzhong	
262	43.916823	81.324136	43.916823	4			CHN	Xinjiang	Ili	
263	33.7174708	-117.8311428	33.7174708	1			USA	California	Orange County	
264	24.288578	116.122523	24.288578	5			CHN	Guangdong	Meizhou	
265	35.1529989	136.902356	35.1529989	2			JPN	Aichi Prefecture		
266	26.641774	118.17771	26.641774	3			CHN	Fujian	Nanping	
267	25.454084	119.007777	25.454084	17			CHN	Fujian	Putian	
268	24.433353	98.584895	24.433353	2			CHN	Yunnan	Dehong	
269	25.112046	99.1617610000001	25.112046	5			CHN	Yunnan	Baoshan	
270	27.338257	103.717465	27.338257	4			CHN	Yunnan	Zhaotong	
271	46.799777	130.3188779	46.799777	5			CHN	Heilongjiang	Jiamusi	
272	13.8621125	100.5143528	13.8621125	7			THA	Nonthaburi	Nonthaburi	
273	12.568452	99.9577223	12.568452	1			THA	Prachuap Khiri Khan	Hua Hin District	
274	32.187849	119.425836	32.187849	2			CHN	Jiangsu	Zhenjiang	
275	34.0522342	-118.2436849	34.0522342	1			USA	California	Los Angeles County	
276	39.331595	112.432825	39.331595	3			CHN	Shanxi	Shuozhou	
277	37.518314	111.144319	37.518314	4			CHN	Shanxi	Lvliang	
278	36.088005	111.518975	36.088005	1			CHN	Shanxi	Linfen	
279	33.4255104	-111.9400054	33.4255104	1			USA	Arizona	Tempe (Maricopa County)	
280	40.657978	109.840313	40.657978	3			CHN	Inner Mongolia	Baotou	
281	43.65289	122.243444	43.65289	1			CHN	Inner Mongolia	Tongliao	
282	46.082462	122.037657	46.082462	1			CHN	Inner Mongolia	Hinggan	
283	34.414961	115.656339	34.414961	18			CHN	Henan	Shangqiu	
284	35.748233	114.297201	35.748233	6			CHN	Henan	Hebi	
285	34.035771	113.852454	34.035771	3			CHN	Henan	Xuchang	
286	34.797281	114.307582	34.797281	4			CHN	Henan	Kaifeng	
287	34.205768	117.284124	34.205768	15			CHN	Jiangsu	Xuzhou	
288	22.786186	115.375158	22.786186	1			CHN	Guangdong	Shanwei	
289	30.191013	105.840555	30.191013	2			CHN	Chongqing	Tongnan District	
290	29.290069	106.259281	29.290069	3			CHN	Chongqing	Jiangjin District	
291	29.484527	106.482346	29.484527	2			CHN	Chongqing	Dadukou District	
