updated	id	confirmed	deaths	recovered
2020-01-27 19:00:00	551	72		2
2020-01-25 22:00:00	557	36		
2020-01-30 11:00:00	563	162		5
2020-01-29 14:30:00	566	109		3
2020-01-29 21:00:00	569	162		4
2020-01-21 22:00:00	572	2		
2020-01-26 11:00:00	575	36		
2020-01-31 19:00:00	578	240		7
2020-01-28 13:00:00	581	72		3
2020-01-29 13:30:00	584	109		3
2020-01-23 12:00:00	587	7		
2020-01-26 23:00:00	590	48		
2020-01-31 19:00:00	26	184		2
2020-01-28 13:00:00	596	95		
2020-01-29 13:30:00	599	130		1
2020-01-23 12:00:00	602	6		
2020-01-26 23:00:00	605	63		
2020-01-29 14:30:00	608	130		1
2020-01-30 11:00:00	611	158		1
2020-01-21 22:00:00	614	1		
2020-01-26 11:00:00	617	46		
2020-01-29 21:00:00	620	145		1
2020-01-25 12:00:00	623	21		
2020-01-24 12:00:00	626	15		
2020-01-31 14:00:00	629	184		2
2020-01-25 22:00:00	632	39		
2020-01-27 19:00:00	635	75		
2020-01-22 12:00:00	638	2		
2020-02-03 21:00:00	644	270		7
2020-02-02 21:00:00	647	246		6
2020-01-27 09:00:00	650	75		
2020-01-28 23:00:00	653	121		
2020-01-28 18:00:00	656	95		
2020-02-01 10:00:00	659	206		3
2020-01-27 20:30:00	665	87		
2020-01-29 21:00:00	29	142		1
2020-01-26 11:00:00	671	44		
2020-01-21 22:00:00	674	2		
2020-01-30 11:00:00	677	142		1
2020-01-29 14:30:00	680	108		1
2020-01-23 12:00:00	683	8		
2020-01-29 13:30:00	686	108		
2020-01-28 13:00:00	689	90		
2020-01-26 23:00:00	692	69		
2020-01-31 19:00:00	695	177		1
2020-01-28 18:00:00	698	90		
2020-01-25 12:00:00	701	28		
2020-01-28 23:00:00	704	108		
2020-02-01 10:00:00	707	207		3
2020-01-27 20:30:00	710	90		
2020-01-22 12:00:00	713	5		
2020-02-03 21:00:00	716	254		14
2020-02-02 21:00:00	719	254		12
2020-01-27 09:00:00	722	69		
2020-01-24 12:00:00	725	15		
2020-01-27 19:00:00	728	69		
2020-01-25 22:00:00	731	44		
2020-01-31 14:00:00	734	177		1
2020-01-31 19:00:00	32	139		5
2020-01-29 13:30:00	746	111		4
2020-01-28 13:00:00	749	91		4
2020-01-23 12:00:00	752	22		
2020-01-26 23:00:00	755	68		2
2020-01-30 11:00:00	758	114		4
2020-01-29 14:30:00	761	111		4
2020-01-29 21:00:00	764	111		4
2020-01-26 11:00:00	767	68		2
2020-01-21 22:00:00	770	10		
2020-01-25 12:00:00	773	41		2
2020-01-31 14:00:00	776	139		5
2020-01-24 12:00:00	779	36		1
2020-01-27 19:00:00	782	80		2
2020-01-25 22:00:00	785	51		2
2020-01-22 12:00:00	791	14		
2020-02-03 21:00:00	794	212		12
2020-02-02 21:00:00	797	191		9
2020-01-27 09:00:00	800	72		2
2020-01-28 18:00:00	803	91		4
2020-01-28 23:00:00	809	91		4
2020-01-27 20:30:00	812	80		2
2020-02-01 10:00:00	815	168		9
2020-01-30 11:00:00	35	129		1
2020-01-29 14:30:00	821	99		1
2020-01-29 21:00:00	824	129		1
2020-01-26 11:00:00	827	33		1
2020-01-31 19:00:00	830	168		5
2020-01-26 23:00:00	833	47		1
2020-01-29 13:30:00	836	99		1
2020-01-23 12:00:00	839	5		
2020-01-28 13:00:00	842	70		1
2020-02-03 21:00:00	845	308		8
